Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,China,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","41,213,422","46,033,914","56,294,737","42,679,008","22,837,175"
FAS Value,Canada,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","3,682,003,877","3,959,887,381","3,952,240,595","2,971,008,065","2,948,508,196"
FAS Value,Canada,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","104,242,509","128,429,309","109,076,475","84,124,534","66,627,073"
FAS Value,China,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,"169,545,460","179,887,287","238,067,291","236,828,657","244,304,661"
FAS Value,China,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,"1,540,091","388,711","412,186","404,099","243,587"
FAS Value,Mexico,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","2,257,048","2,289,575","1,145,943","748,190","894,011"
FAS Value,Canada,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","155,276,493","163,035,130","151,806,250","114,989,006","113,554,075"
FAS Value,Canada,40,RUBBER AND ARTICLES THEREOF,"3,125,339,141","3,368,042,636","3,504,436,439","2,671,698,277","2,600,592,442"
FAS Value,Mexico,22,"BEVERAGES, SPIRITS AND VINEGAR","410,835,986","470,979,600","484,389,544","369,582,240","387,964,983"
FAS Value,Canada,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,"465,073,188","456,845,799","440,740,159","325,966,134","326,961,963"
FAS Value,Mexico,73,ARTICLES OF IRON OR STEEL,"4,935,657,408","5,871,450,142","6,219,536,059","4,740,664,353","4,902,104,702"
FAS Value,Mexico,56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF","716,604,949","633,508,267","686,583,242","503,497,812","515,707,961"
FAS Value,China,53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER,"44,668","160,936","211,495","78,713","105,980"
FAS Value,Mexico,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN","634,491,886","657,637,834","635,747,809","471,447,753","465,748,673"
FAS Value,Canada,87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","43,541,381,819","53,117,644,709","54,564,874,185","41,904,456,662","40,295,927,095"
FAS Value,Mexico,82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","664,962,168","691,200,435","818,150,485","623,130,691","595,555,063"
FAS Value,China,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,"233,818,271","283,613,867","229,338,796","162,728,776","196,198,455"
FAS Value,China,50,"SILK, INCLUDING YARNS AND WOVEN FABRICS THEREOF","42,890","52,097","99,647","35,089","64,163"
FAS Value,China,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI","1,339,509,489","1,676,583,012","2,180,264,835","1,559,789,110","1,671,932,255"
