Trade Balance | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Dom. Exports FAS-Imports for Consumption Value,China,78,LEAD AND ARTICLES THEREOF,"-53,480,975","-160,703,282","-15,578,636","-15,109,965","-1,435,910"
Dom. Exports FAS-Imports for Consumption Value,Mexico,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES","27,318,273,976","31,194,726,372","22,672,511,416","16,925,201,126","18,491,020,154"
Dom. Exports FAS-Imports for Consumption Value,Mexico,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,"193,071,843","266,965,572","256,579,523","198,668,808","151,190,629"
Dom. Exports FAS-Imports for Consumption Value,Canada,76,ALUMINUM AND ARTICLES THEREOF,"-8,144,498,577","-9,562,718,022","-8,018,190,936","-6,098,150,434","-6,150,205,259"
Dom. Exports FAS-Imports for Consumption Value,China,12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUITS; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","14,880,271,394","18,738,247,858","15,574,620,907","8,138,893,269","5,998,607,549"
Dom. Exports FAS-Imports for Consumption Value,Mexico,87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","-75,499,134,031","-89,573,357,695","-103,280,478,398","-75,723,178,409","-82,654,337,686"
Dom. Exports FAS-Imports for Consumption Value,Mexico,51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC","-14,339,888","-19,812,630","-18,423,263","-15,035,217","-14,898,313"
Dom. Exports FAS-Imports for Consumption Value,Mexico,80,TIN AND ARTICLES THEREOF,"16,543,138","12,725,423","3,199,862","3,085,722","3,308,393"
Dom. Exports FAS-Imports for Consumption Value,Canada,47,PULP OF WOOD OR OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER AND PAPERBOARD,"-1,702,248,785","-2,168,983,550","-1,560,940,239","-1,237,188,068","-1,305,878,706"
Dom. Exports FAS-Imports for Consumption Value,Mexico,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI","1,524,752,387","2,181,685,160","1,832,909,066","1,446,387,205","596,776,439"
Dom. Exports FAS-Imports for Consumption Value,Mexico,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","-53,069,428","-82,138,020","-45,729,531","-24,084,631","-24,881,128"
Dom. Exports FAS-Imports for Consumption Value,Canada,54,"MANMADE FILAMENTS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","-35,225,439","16,543,222","8,518,671","10,230,058","857,817"
Dom. Exports FAS-Imports for Consumption Value,China,09,"COFFEE, TEA, MATE AND SPICES","-218,131,821","-229,224,813","-196,286,977","-149,234,635","-166,055,605"
Dom. Exports FAS-Imports for Consumption Value,Canada,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","-376,344,269","-428,322,340","-518,730,575","-339,315,634","-365,829,094"
Dom. Exports FAS-Imports for Consumption Value,China,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"724,623,012","612,184,290","599,438,197","443,036,271","395,500,514"
Dom. Exports FAS-Imports for Consumption Value,Mexico,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","-10,053,215,618","-11,624,651,820","-11,778,666,114","-8,983,581,051","-8,785,819,676"
Dom. Exports FAS-Imports for Consumption Value,Canada,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","330,544,713","412,132,832","406,448,356","285,259,928","278,950,814"
Dom. Exports FAS-Imports for Consumption Value,Canada,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES","5,754,581,164","6,192,482,024","6,483,647,576","5,136,625,401","4,009,343,806"
Dom. Exports FAS-Imports for Consumption Value,Canada,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,"-16,514,848,606","-14,045,155,464","-8,653,121,050","-6,524,354,764","-6,759,598,520"
Dom. Exports FAS-Imports for Consumption Value,Canada,51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC","-12,844,696","-16,073,769","-13,742,287","-12,102,098","-11,055,229"
Dom. Exports FAS-Imports for Consumption Value,China,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI","107,823,058","169,742,323","197,955,494","155,812,874","63,150,898"
Dom. Exports FAS-Imports for Consumption Value,China,30,PHARMACEUTICAL PRODUCTS,"120,948,947","-5,539,556,090","-1,840,222,965","-1,379,709,436","-1,970,388,061"
Dom. Exports FAS-Imports for Consumption Value,China,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","-556,503,037","-646,533,795","-347,103,246","-304,508,507","-250,281,473"
Dom. Exports FAS-Imports for Consumption Value,China,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE","-324,411,460","-327,440,410","-268,637,952","-200,403,032","-220,567,414"
Dom. Exports FAS-Imports for Consumption Value,Canada,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FEED,"222,394,610","370,218,090","60,313,482","-39,844,302","204,964,336"
