Imports For Consumption | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Customs Value,China,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS","634,147,130","649,733,205","596,044,663","432,528,245","522,762,137"
Customs Value,China,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","12,151,738,286","12,597,200,485","9,515,777,551","7,251,031,566","7,396,974,065"
Customs Value,Canada,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","4,802,793,752","5,732,503,963","5,736,861,229","4,343,861,748","4,138,221,014"
Customs Value,Canada,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","92,467,932","122,371,409","159,690,207","126,733,633","93,218,273"
Customs Value,China,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,"705,951","256,761,865","118,649,327","105,108,396","79,487,110"
Customs Value,China,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,"296,956,610","215,220,557","163,993,148","129,379,930","130,055,865"
Customs Value,Mexico,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","66,381,631","59,431,795","63,216,580","35,262,444","60,355,135"
Customs Value,Canada,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","46,398,744","53,045,197","56,387,006","43,511,264","42,977,035"
Customs Value,Canada,40,RUBBER AND ARTICLES THEREOF,"2,747,836,988","2,858,240,416","2,964,551,452","2,227,391,819","2,360,854,741"
Customs Value,Mexico,22,"BEVERAGES, SPIRITS AND VINEGAR","9,464,735,429","11,381,022,867","11,481,583,561","8,633,473,948","9,819,928,315"
Customs Value,Canada,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,"53,368,397","47,940,639","35,005,941","27,309,118","26,663,729"
Customs Value,Mexico,73,ARTICLES OF IRON OR STEEL,"6,381,882,260","8,079,089,239","7,748,755,646","6,014,362,721","5,504,365,646"
Customs Value,Mexico,56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF","182,803,635","218,985,500","197,452,322","150,238,543","139,531,011"
